,City,Latitude,Longitude,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
41,Porto-Novo,6.5,2.6,80.6,83,40,13.87,BJ,1592431154
42,Boden,65.83,21.69,60.8,63,0,2.24,SE,1592431021
43,Chokurdakh,70.63,147.92,74.64,32,11,7.36,RU,1592431154
44,Qaanaaq,77.48,-69.36,33.64,90,26,2.06,GL,1592431154
45,Lake Shasta,40.68,-122.37,87.01,19,0,1.01,US,1592431155
46,Severo-Kuril'sk,50.68,156.12,44.4,87,100,5.12,RU,1592431155
47,Vao,-22.67,167.48,72.88,80,98,14.67,NC,1592431155
48,Hermanus,-34.42,19.23,50.0,85,11,7.18,ZA,1592431155
49,Bollnäs,61.35,16.39,56.39,93,70,1.32,SE,1592431001
50,Isangel,-19.55,169.27,77.0,78,20,6.93,VU,1592431047
51,Puerto Ayora,-0.74,-90.35,73.4,78,75,12.75,EC,1592430932
52,Mount Gambier,-37.83,140.77,44.6,93,73,10.29,AU,1592430986
53,Ilulissat,69.22,-51.1,39.2,74,74,5.82,GL,1592431156
54,Saint Paul Harbor,57.79,-152.41,50.0,93,90,14.99,US,1592431156
55,Avarua,-21.21,-159.78,77.0,61,81,9.17,CK,1592431156
56,Prince Rupert,54.32,-130.32,59.0,72,90,4.7,CA,1592431156
57,Hiroshima,34.4,132.46,68.0,88,90,9.17,JP,1592431157
58,Beidao,34.57,105.89,57.07,76,0,1.34,CN,1592431157
59,Baruun-Urt,46.68,113.28,61.92,74,15,8.12,MN,1592431157
60,Abu Dhabi,24.47,54.37,90.0,84,0,9.17,AE,1592430988
61,São Filipe,14.9,-24.5,76.66,76,3,9.1,CV,1592431157
62,Atuona,-9.8,-139.03,80.46,75,0,14.97,PF,1592430956
63,Hailar,49.2,119.7,59.22,82,100,9.93,CN,1592431157
64,Palu,-0.89,119.87,75.54,82,100,3.6,ID,1592431158
65,Carnarvon,-24.87,113.63,64.4,100,40,17.2,AU,1592430952
66,Vaini,-21.2,-175.2,75.2,64,20,13.87,TO,1592430965
67,Bilibino,68.05,166.44,75.2,26,97,6.93,RU,1592431158
68,Mugur-Aksy,50.35,90.5,50.2,70,98,0.96,RU,1592431158
69,Talnakh,69.49,88.4,37.4,86,100,4.47,RU,1592431158
70,Bengkulu,-3.8,102.27,76.66,86,69,4.38,ID,1592431159
71,Pangnirtung,66.15,-65.71,39.2,69,90,17.22,CA,1592431159
72,Cape Town,-33.93,18.42,50.0,76,45,3.36,ZA,1592430962
73,Taloc,10.57,122.9,79.56,80,100,3.18,PH,1592431159
74,George Town,5.41,100.34,78.8,88,40,8.05,MY,1592431159
75,Moranbah,-22.0,148.05,59.56,83,75,23.35,AU,1592431160
76,Padang,-0.95,100.35,77.34,79,31,5.5,ID,1592431160
77,Buchanan,5.88,-10.05,77.97,88,68,10.8,LR,1592430961
78,Dunedin,-45.87,170.5,45.0,67,54,18.01,NZ,1592431160
79,Thompson,55.74,-97.86,44.6,93,90,14.99,CA,1592430956
80,Oppdal,62.59,9.69,59.13,72,85,1.61,NO,1592431160
81,Albany,42.6,-73.97,87.01,32,0,1.99,US,1592431161
82,Constitución,-35.33,-72.42,53.29,87,83,13.18,CL,1592431161
83,Cockburn Town,21.46,-71.14,82.17,81,90,17.9,TC,1592431161
84,Bluff,-46.6,168.33,39.0,83,24,3.0,NZ,1592430965
85,Batagay-Alyta,67.8,130.41,70.39,37,0,5.17,RU,1592431161
86,Biak,-0.91,122.88,77.59,83,77,7.25,ID,1592430962
87,Dondo,-19.61,34.74,66.2,88,75,14.99,MZ,1592431162
88,Norman Wells,65.28,-126.83,82.4,32,40,9.17,CA,1592431162
89,Geraldton,-28.77,114.6,62.6,77,75,14.99,AU,1592431162
90,Piaçabuçu,-10.41,-36.43,75.76,81,32,11.45,BR,1592430581
91,Praia,14.92,-23.51,84.2,51,7,17.22,CV,1592430570
92,Barrow,71.29,-156.79,41.0,75,1,12.75,US,1592431059
93,Dikson,73.51,80.55,33.04,92,89,3.22,RU,1592431162
94,Dillon,34.42,-79.37,72.0,73,90,4.7,US,1592431163
95,Sioux Lookout,50.1,-91.92,91.4,41,20,13.87,CA,1592430884
96,Nyurba,63.28,118.33,54.93,81,100,6.64,RU,1592430585
97,Kamaishi,39.27,141.88,67.41,64,0,5.79,JP,1592431163
98,Narsaq,60.92,-46.05,40.64,71,100,7.45,GL,1592431006
99,Naze,28.37,129.48,78.8,100,75,18.34,JP,1592431163
100,Kahului,20.89,-156.47,89.6,43,20,23.04,US,1592431163
101,Tandaltī,13.02,31.87,90.9,38,100,8.99,SD,1592431164
102,Lebu,-37.62,-73.65,52.39,84,73,14.36,CL,1592431164
103,Caravelas,-17.71,-39.25,72.81,75,35,10.02,BR,1592431164
104,Ulladulla,-35.35,150.47,52.0,87,75,4.7,AU,1592431164
105,Fairbanks,64.84,-147.72,75.99,35,1,4.7,US,1592431164
106,Atasū,48.68,71.64,51.49,70,10,9.22,KZ,1592431164
107,Luganville,-15.53,167.17,78.8,83,75,5.82,VU,1592431165
108,Cabo San Lucas,22.89,-109.91,93.2,34,5,12.75,MX,1592431139
109,Kendari,-3.94,122.5,73.24,94,49,4.14,ID,1592430592
110,Kilindoni,-7.91,39.67,79.5,72,56,23.26,TZ,1592430566
111,Lavrentiya,65.58,-171.0,50.81,63,44,5.12,RU,1592431165
112,Lagoa,39.05,-27.98,63.52,80,98,9.31,PT,1592431165
113,Gallup,35.53,-108.74,84.99,7,1,16.11,US,1592430960
114,Zeven,53.3,9.28,71.6,64,100,10.29,DE,1592431166
115,Chui,-33.7,-53.46,66.94,80,100,11.63,UY,1592430981
116,Porterville,36.07,-119.02,84.0,28,1,6.93,US,1592431166
117,Yellowknife,62.46,-114.35,63.0,43,40,16.11,CA,1592431166
118,Havre-St-Pierre,50.23,-63.6,64.4,59,75,9.17,CA,1592431166
119,Bandar-e Lengeh,26.56,54.88,87.8,74,0,4.7,IR,1592430570
120,Saint-Philippe,-21.36,55.77,69.8,93,90,11.41,RE,1592431166
121,Orlik,52.52,99.83,46.38,81,33,1.39,RU,1592431167
122,Nālūt,30.33,10.85,82.99,15,0,10.2,LY,1592431167
123,Matara,5.95,80.54,79.2,90,71,7.81,LK,1592431167
124,Cherskiy,68.75,161.3,77.45,26,47,0.96,RU,1592430964
125,Waipawa,-41.41,175.52,51.8,93,100,20.8,NZ,1592431167
126,Leningradskiy,69.38,178.42,50.61,50,99,8.7,RU,1592431168
127,Bilma,18.69,12.92,88.11,13,0,4.74,NE,1592431168
128,Flinders,-34.58,150.86,55.0,85,78,1.01,AU,1592430971
129,Yulara,-25.24,130.99,39.2,51,0,4.7,AU,1592431168
130,Ancud,-41.87,-73.82,51.01,93,75,12.75,CL,1592431168
131,Avera,33.19,-82.53,75.2,57,90,5.82,US,1592431031
132,Airai,-8.93,125.41,55.71,100,45,4.72,TL,1592431168
133,Saldanha,-33.01,17.94,53.6,62,16,1.12,ZA,1592431169
134,São Paulo de Olivença,-3.38,-68.87,80.85,80,50,1.83,BR,1592431169
135,Tuktoyaktuk,69.45,-133.04,44.6,93,40,12.75,CA,1592430947
136,Beringovskiy,63.05,179.32,50.76,58,0,3.02,RU,1592430571
137,Saint-Augustin,51.23,-58.65,59.92,73,100,15.79,CA,1592431169
138,Hasaki,35.73,140.83,70.0,94,75,6.93,JP,1592430968
139,Dawson Creek,55.77,-120.24,62.6,67,20,5.82,CA,1592431169
140,Bloemfontein,-29.12,26.21,35.6,93,49,2.24,ZA,1592431170
141,Tanete,-3.94,119.78,77.07,85,95,12.15,ID,1592430596
142,Jamestown,42.1,-79.24,78.8,34,1,3.36,US,1592431170
143,Kragujevac,44.02,20.92,64.4,100,75,3.36,RS,1592431170
144,Hambantota,6.12,81.12,80.6,94,75,6.93,LK,1592431170
145,Mossamedes,-15.2,12.15,71.31,63,0,7.0,AO,1592431170
146,Şabyā,17.15,42.63,91.4,66,66,3.2,SA,1592431171
147,San Policarpo,12.18,125.51,81.95,80,100,3.89,PH,1592431171
148,Coruripe,-10.13,-36.18,75.22,83,18,11.12,BR,1592431171
149,Kushmurun,52.45,64.63,62.08,68,64,8.12,KZ,1592431171
150,Ko Samui,9.54,99.94,84.67,71,100,9.1,TH,1592431171
151,Camacha,33.08,-16.33,64.4,88,20,4.7,PT,1592431171
152,Vite,17.28,74.55,71.53,90,100,12.93,IN,1592431171
153,Mackay,-21.15,149.2,68.0,82,90,13.87,AU,1592431172
154,Margate,51.38,1.39,61.0,85,100,0.76,GB,1592431172
155,Shingū,33.73,135.98,68.47,72,100,2.73,JP,1592431172
156,Tiksi,71.69,128.87,51.46,73,100,6.53,RU,1592431172
157,Lewiston,44.1,-70.21,78.8,44,1,11.41,US,1592431172
158,East London,-33.02,27.91,60.98,72,1,12.68,ZA,1592431172
159,Caorle,45.6,12.88,66.0,89,21,4.56,IT,1592431173
160,Palauig,15.44,119.9,81.45,75,92,4.23,PH,1592430590
161,Gerāsh,27.67,54.14,91.4,29,0,1.48,IR,1592431173
162,Takoradze,4.88,-1.76,77.02,89,87,15.01,GH,1592431173
163,Umluj,25.02,37.27,80.65,56,0,2.04,SA,1592431173
164,Aracati,-4.56,-37.77,79.34,79,47,11.23,BR,1592431173
165,Mahina,-17.51,-149.49,82.4,74,75,6.93,PF,1592431174
166,Natchitoches,31.77,-93.13,89.6,46,75,5.91,US,1592431174
167,Provideniya,64.38,-173.3,53.6,66,98,11.18,RU,1592431174
168,Walvis Bay,-22.96,14.51,73.99,20,0,12.75,NA,1592431174
169,Bambous Virieux,-20.34,57.76,69.01,94,75,18.34,MU,1592431174
170,Amapá,1.0,-52.0,74.8,97,100,1.32,BR,1592431174
171,Sherbakul',54.63,72.4,60.8,67,40,8.95,RU,1592431175
172,Ponta do Sol,32.67,-17.1,68.0,77,40,3.36,PT,1592430973
173,Kieta,-6.22,155.63,82.36,68,100,3.67,PG,1592431175
174,Port Elizabeth,-33.92,25.57,50.0,93,0,2.24,ZA,1592431175
175,Umm Kaddadah,13.6,26.69,88.61,35,76,5.37,SD,1592431175
176,Vila Velha,-20.33,-40.29,73.4,69,40,6.93,BR,1592431175
177,Makar'yev,57.88,43.81,56.03,82,35,5.91,RU,1592431175
178,Puri,19.8,85.85,84.2,89,75,10.29,IN,1592431176
179,Kaohsiung City,22.62,120.31,82.0,88,40,3.36,TW,1592430950
180,Porto-Vecchio,41.59,9.28,73.4,77,9,13.87,FR,1592431176
181,Mattru,7.62,-11.83,75.25,97,80,2.84,SL,1592431176
182,Strakonice,49.26,13.9,62.01,95,80,0.96,CZ,1592431176
183,Nampula,-15.12,39.27,66.2,82,40,10.29,MZ,1592431176
184,Castro,-24.79,-50.01,57.33,92,0,4.07,BR,1592431177
185,Otane,-39.88,176.63,48.0,94,100,1.01,NZ,1592431177
186,Sitka,57.05,-135.33,55.4,66,90,10.29,US,1592430957
187,Khakhea,-24.69,23.49,48.33,60,0,7.85,BW,1592431177
188,Sakakah,29.97,40.21,84.2,12,0,6.93,SA,1592430307
189,Houston,29.76,-95.36,93.99,38,40,9.17,US,1592431135
190,Pontal do Paraná,-25.65,-48.51,60.8,87,19,5.82,BR,1592431178
191,Belyy Yar,53.6,91.39,50.0,93,87,1.32,RU,1592431178
192,Lüderitz,-26.65,15.16,71.62,22,0,20.42,NA,1592431178
193,Itarema,-2.92,-39.92,77.11,86,2,10.38,BR,1592431178
194,Kloulklubed,7.04,134.26,77.0,94,90,10.29,PW,1592431178
195,Sisimiut,66.94,-53.67,37.67,78,84,10.65,GL,1592431179
196,Esmeraldas,-19.76,-44.31,64.4,77,75,8.05,BR,1592431179
197,Zdvinsk,54.7,78.66,50.02,85,9,3.49,RU,1592431179
198,Calabozo,8.92,-67.43,82.4,87,19,1.54,VE,1592431179
199,Emmaus,40.54,-75.5,77.0,53,1,8.05,US,1592431152
200,Asău,46.43,26.4,57.99,95,96,2.71,RO,1592431180
201,Hithadhoo,-0.6,73.08,84.16,74,42,6.89,MV,1592431180
202,Sola,-13.88,167.55,80.6,88,90,21.92,VU,1592431047
203,Ayagoz,47.97,80.44,54.57,74,29,11.48,KZ,1592431180
204,Syumsi,57.11,51.61,47.3,75,0,4.85,RU,1592431180
205,Port Macquarie,-31.43,152.92,57.2,100,40,6.93,AU,1592431180
206,Bátaszék,46.19,18.72,62.08,92,99,9.93,HU,1592431181
207,Pak Phanang,8.35,100.2,80.31,80,100,4.32,TH,1592431181
208,Kruisfontein,-34.0,24.73,53.69,41,0,6.51,ZA,1592431181
209,Great Yarmouth,52.61,1.73,57.0,99,91,3.0,GB,1592431181
210,Maragogi,-9.01,-35.22,75.29,76,12,10.09,BR,1592431181
211,Serenje,-13.23,30.24,54.23,65,82,7.09,ZM,1592431181
212,Yerbogachën,61.28,108.01,54.7,64,0,2.19,RU,1592431182
213,Itoman,26.12,127.67,82.4,88,75,14.99,JP,1592430983
214,Turaif,31.67,38.66,78.8,31,0,9.17,SA,1592431182
215,Riyadh,24.69,46.72,91.4,15,32,6.93,SA,1592430885
216,Torbay,47.67,-52.73,66.99,34,90,17.22,CA,1592431182
217,The Valley,18.22,-63.06,86.0,66,40,13.87,AI,1592431138
218,Clyde River,70.47,-68.59,35.6,81,90,4.7,CA,1592431183
219,Cururupu,-1.83,-44.87,75.27,95,67,2.62,BR,1592431183
220,Vanimo,-2.67,141.3,78.31,84,8,4.52,PG,1592431034
221,Port Hedland,-20.32,118.57,62.6,88,0,6.93,AU,1592431183
222,Senanga,-16.12,23.27,52.29,63,0,5.91,ZM,1592431183
223,Muros,42.78,-9.06,57.99,80,19,1.99,ES,1592431183
224,Elko,41.0,-115.5,63.0,32,19,8.99,US,1592430978
225,Nishihara,26.18,127.76,82.4,88,75,14.99,JP,1592431184
226,Longyearbyen,78.22,15.64,41.0,65,20,5.82,SJ,1592431184
227,Dingle,11.0,122.67,78.48,83,100,2.77,PH,1592431184
228,Yeppoon,-23.13,150.73,60.8,77,100,5.82,AU,1592431184
229,Henties Bay,-22.12,14.28,73.99,22,0,3.0,NA,1592430594
230,Panabá,21.28,-88.27,80.4,86,66,7.11,MX,1592431184
231,Dovbysh,50.37,27.99,61.86,96,47,5.73,UA,1592431185
232,North Bay,46.32,-79.47,80.6,32,20,5.82,CA,1592430894
233,Broome,42.25,-75.83,82.99,31,1,5.28,US,1592430992
234,Mareeba,-17.0,145.43,69.01,89,100,3.0,AU,1592430991
235,Port Moresby,-9.44,147.18,77.0,88,40,5.82,PG,1592431185
236,Aklavik,68.22,-135.01,62.6,63,75,3.36,CA,1592431185
237,Mosetse,-20.75,26.65,48.85,84,0,15.52,BW,1592431185
238,Castrovillari,39.82,16.21,70.0,63,7,5.99,IT,1592431186
239,Havelock,34.88,-76.9,75.99,69,90,11.41,US,1592430946
240,Manuk Mangkaw,4.8,119.85,84.88,68,100,7.09,PH,1592430988
241,Arraial do Cabo,-22.97,-42.03,71.6,68,20,9.17,BR,1592431186
242,Kupang,-10.17,123.58,76.01,77,11,12.86,ID,1592431186
243,Nyakahanga,-1.6,31.14,60.3,73,3,3.33,TZ,1592431186
244,Laguna,38.42,-121.42,87.8,18,1,14.99,US,1592431187
245,Camaná,-16.62,-72.71,64.69,76,75,10.74,PE,1592431136
246,Lompoc,34.64,-120.46,73.0,56,2,14.99,US,1592431048
247,Mahébourg,-20.41,57.7,68.0,94,75,18.34,MU,1592431187
248,Yinchuan,38.47,106.27,71.91,39,0,9.55,CN,1592431187
249,Zhangye,38.93,100.45,68.67,24,39,7.27,CN,1592431187
250,Tabas,33.6,56.92,93.2,15,0,6.93,IR,1592431117
251,Port Lincoln,-34.73,135.87,56.25,61,31,21.14,AU,1592431188
252,Upernavik,72.79,-56.15,35.35,85,0,5.68,GL,1592430957
253,Mandalgovi,45.76,106.27,60.17,68,48,11.61,MN,1592431188
254,São João da Barra,-21.64,-41.05,68.0,82,0,5.82,BR,1592431112
255,Vardø,70.37,31.11,44.6,81,10,12.75,NO,1592431188
256,São Félix do Xingu,-6.64,-51.99,75.25,75,26,2.39,BR,1592431188
257,Dicabisagan,17.08,122.42,78.84,77,100,3.49,PH,1592431189
258,Kushima,31.46,131.23,68.0,88,75,1.12,JP,1592430591
259,Techiman,7.59,-1.94,71.56,99,100,5.06,GH,1592431189
260,Trogir,43.51,16.25,69.8,68,0,6.93,HR,1592431189
261,Adrar,20.5,-10.07,98.49,16,0,16.98,MR,1592431189
262,Jutaí,-5.18,-68.9,82.63,72,80,1.95,BR,1592431189
263,Opuwo,-18.06,13.84,56.32,45,0,7.14,NA,1592431190
264,Touros,-5.2,-35.46,77.0,83,20,6.93,BR,1592431190
265,Garden City,42.33,-83.33,86.0,34,20,11.41,US,1592431190
266,Vanavara,60.34,102.28,51.42,66,81,2.42,RU,1592431190
267,Santiago de Chuco,-8.15,-78.18,62.76,44,18,1.03,PE,1592431190
268,Santa Maria,-29.68,-53.81,68.16,81,19,7.27,BR,1592431190
269,Erzin,36.96,36.2,73.0,85,0,0.96,TR,1592431191
270,Cidreira,-30.18,-50.21,64.9,86,16,10.94,BR,1592431191
271,Saint George,37.1,-113.58,89.01,19,1,6.93,US,1592430980
272,Kabansk,52.05,106.65,50.0,71,34,4.47,RU,1592431191
273,Saskylakh,71.92,114.08,60.08,53,70,17.31,RU,1592431191
274,Blackfalds,52.38,-113.79,57.2,76,90,16.11,CA,1592431183
275,Aksu,41.12,80.26,73.89,30,83,1.66,CN,1592431192
276,Olafsvik,64.89,-23.71,48.22,80,100,9.31,IS,1592430990
277,Bethel,41.37,-73.41,78.01,53,1,9.17,US,1592430968
278,Batemans Bay,-35.72,150.18,46.99,99,70,4.45,AU,1592431192
279,Yumen,40.28,97.2,68.23,23,99,4.63,CN,1592431192
280,Shatsk,54.03,41.71,65.71,90,86,3.8,RU,1592431192
281,Altamira,-3.2,-52.21,82.4,83,40,2.77,BR,1592430938
282,Gizo Government Station,-8.1,156.84,82.89,79,95,11.86,SB,1592431193
283,Atambua,-9.11,124.89,68.86,87,48,6.04,ID,1592431193
284,São Luís de Montes Belos,-16.52,-50.37,70.09,67,33,4.38,BR,1592431194
285,Presidencia Roque Sáenz Peña,-26.79,-60.44,80.69,48,100,12.08,AR,1592431194
286,Nome,64.5,-165.41,66.2,48,1,11.41,US,1592431194
287,Ostrovnoy,68.05,39.51,41.34,76,0,6.64,RU,1592431194
288,Myre,69.1,15.95,51.01,87,0,6.93,NO,1592431195
289,Clemson,34.68,-82.84,73.99,60,90,8.05,US,1592431035
290,Shache,38.42,77.24,69.8,31,4,6.4,CN,1592431197
291,Kumul,42.8,93.45,83.64,14,97,5.88,CN,1592431198
292,Belaya Gora,68.53,146.42,84.6,23,0,8.7,RU,1592431199
293,Praxédis Guerrero,31.37,-106.02,98.6,13,40,10.29,MX,1592431200
294,Seybaplaya,19.65,-90.67,87.8,70,40,13.87,MX,1592431201
295,Sam Chuk,14.76,100.09,78.01,96,100,8.37,TH,1592431202
296,Klaksvík,62.23,-6.59,50.0,93,100,4.7,FO,1592431203
297,Katsuura,35.13,140.3,73.0,88,75,4.7,JP,1592431205
298,Paamiut,61.99,-49.67,36.48,83,98,2.46,GL,1592431206
299,Sandūr,15.1,76.55,76.23,77,100,18.3,IN,1592431207
300,Ochsenfurt,49.66,10.06,62.01,100,90,6.93,DE,1592431208
301,Ubinskoye,55.31,79.68,49.15,88,14,4.32,RU,1592431209
302,Manoel Urbano,-8.84,-69.26,81.28,65,76,1.79,BR,1592431212
303,Yelizovo,53.19,158.38,42.8,100,90,4.47,RU,1592431214
304,Grand-Bourg,15.88,-61.31,84.2,74,75,9.17,GP,1592431216
305,Farafangana,-22.82,47.83,66.83,70,69,6.64,MG,1592431216
306,Lata,40.16,-8.33,60.01,74,0,5.99,PT,1592431070
307,Fortuna,40.6,-124.16,69.01,63,20,16.11,US,1592431219
308,Petrozavodsk,61.78,34.35,51.8,87,0,2.24,RU,1592431220
309,Swift Current,50.28,-107.8,55.4,93,90,17.22,CA,1592431221
310,Tura,25.52,90.22,74.91,98,100,6.91,IN,1592431223
311,Aripuanã,-9.17,-60.63,81.14,65,62,1.05,BR,1592430982
312,Verāval,20.9,70.37,84.27,82,81,11.81,IN,1592431225
313,Fort Nelson,58.81,-122.7,60.8,77,75,4.7,CA,1592431209
314,Kenai,60.55,-151.26,64.4,45,40,18.34,US,1592430973
315,Ust-Nera,64.57,143.2,72.68,35,11,3.85,RU,1592431228
316,Hong Kong,22.29,114.16,82.0,78,11,5.99,HK,1592430996
317,Labuhan,-6.88,112.21,76.75,87,15,7.52,ID,1592431230
318,Banjarmasin,-3.32,114.59,75.29,93,99,2.55,ID,1592431230
319,Salalah,17.02,54.09,84.2,83,40,4.7,OM,1592431231
320,Oussouye,12.48,-16.55,84.2,83,40,6.93,SN,1592431232
321,Westport,41.14,-73.36,73.99,64,1,10.29,US,1592431233
322,Poso,-1.4,120.75,78.35,75,96,6.4,ID,1592431179
323,Zhireken,52.82,117.31,55.67,92,99,2.1,RU,1592431235
324,Portland,45.52,-122.68,72.0,49,40,4.7,US,1592431214
325,Mongu,-15.25,23.13,55.8,54,0,8.21,ZM,1592431236
326,Barcani,45.7,26.08,62.01,87,95,3.0,RO,1592431238
327,Kavaratti,10.57,72.64,84.67,76,100,22.53,IN,1592431239
328,Mayumba,-3.43,10.66,72.32,92,59,1.86,GA,1592431240
329,Ouidah,6.36,2.09,80.6,83,40,13.87,BJ,1592431241
330,Jacareacanga,-6.22,-57.75,81.3,64,41,1.5,BR,1592431242
331,Patan,27.67,85.33,69.8,100,75,2.24,NP,1592431244
332,Te Anau,-45.42,167.72,38.55,82,32,5.99,NZ,1592431245
333,Zhoukou,33.63,114.63,65.7,90,91,6.22,CN,1592431245
334,Krasnosel'kup,65.7,82.47,43.02,67,100,5.55,RU,1592431246
335,Cooma,-36.23,149.13,32.0,93,30,8.05,AU,1592431247
336,Srednekolymsk,67.45,153.68,82.87,28,0,9.4,RU,1592431248
337,Erenhot,43.65,111.98,67.15,55,0,8.37,CN,1592431249
338,Nouadhibou,20.93,-17.03,91.4,29,0,24.16,MR,1592430997
339,Puerto Escondido,15.85,-97.07,86.31,66,39,6.22,MX,1592431251
340,Neryungri,56.67,124.65,58.84,55,0,2.73,RU,1592431251
341,Keokuk,40.4,-91.38,86.0,37,1,9.17,US,1592431251
342,Solana Beach,32.99,-117.27,75.2,68,90,10.29,US,1592431252
343,Ekibastuz,51.67,75.37,58.82,46,2,9.35,KZ,1592430978
344,Port Keats,-14.25,129.55,68.04,72,0,9.06,AU,1592431254
345,Cedar City,37.68,-113.06,71.6,24,1,6.93,US,1592431124
346,Guasdualito,7.24,-70.73,86.0,66,40,2.24,VE,1592431257
347,Bereket,39.24,55.52,83.25,14,0,19.71,TM,1592431258
348,Synya,65.37,58.04,33.3,92,19,5.12,RU,1592431258
349,Anking,30.51,117.05,80.64,79,98,9.37,CN,1592431202
350,Coquimbo,-29.95,-71.34,60.8,63,3,5.82,CL,1592431048
351,Jining,35.41,116.58,65.21,88,100,8.21,CN,1592431260
352,Calama,-22.47,-68.93,66.2,22,0,23.04,CL,1592431261
353,Dali,25.7,100.18,63.19,86,90,3.47,CN,1592431261
354,Mount Isa,-20.73,139.5,62.6,55,0,5.82,AU,1592431261
355,Puerto Padre,21.2,-76.6,71.6,100,75,5.82,CU,1592431261
356,Vostok,46.49,135.88,46.29,100,100,0.31,RU,1592431261
357,Tautira,-17.73,-149.15,82.4,74,75,6.93,PF,1592431262
358,Campbell River,50.02,-125.24,69.8,46,75,8.05,CA,1592431178
359,Sargodha,32.08,72.67,93.78,10,0,5.59,PK,1592431262
360,Yarmouth,41.71,-70.23,73.4,49,1,5.82,US,1592430987
361,Kumluca,36.37,30.29,71.56,67,0,2.48,TR,1592431262
362,Berdigestyakh,62.1,126.7,66.58,54,32,9.01,RU,1592431263
363,Broken Hill,-31.95,141.43,39.2,80,0,4.7,AU,1592431264
364,Chopinzinho,-25.86,-52.52,63.12,84,0,6.91,BR,1592431222
365,Kentau,43.52,68.51,61.12,38,0,5.23,KZ,1592431267
366,Quatre Cocos,-20.21,57.76,69.01,94,75,18.34,MU,1592431268
367,Chauk,20.88,94.82,78.64,80,100,17.63,MM,1592431270
368,San Carlos,9.66,-68.58,83.52,73,0,2.37,VE,1592431224
369,Kuril'sk,45.23,147.88,48.87,93,100,6.87,RU,1592431271
370,Launceston,-41.45,147.17,35.6,83,90,1.61,AU,1592430998
371,Beïnamar,8.67,15.38,72.75,90,100,4.92,TD,1592431273
372,Machakos,-1.52,37.27,55.4,93,2,6.93,KE,1592431275
373,Patacamaya,-17.23,-67.92,52.57,46,36,7.61,BO,1592431276
